,classname_kor,classname_eng,name_normal,damage_normal,name_awakening,damage_awakening
character_aeromancer_drizzle.json,기상술사(이슬비),Aeromancer(drizzle),뙤약볕,48788819,나르가의 칼날,83368636
character_aeromancer_gale_rage_dom.json,"기상술사(질풍, 2기4역)",Aeromancer(gale rage),바람송곳,55363338,나르가의 칼날,31729057
character_aeromancer_gale_rage_hal.json,"기상술사(질풍, 2기4역)",Aeromancer(gale rage),바람송곳,57627134,나르가의 칼날,57686203
character_battlemaster_first_intention.json,배틀마스터(초심),Wardancer(first intention),방천격,48327267,극의 : 일순난격,14352639
character_berserker_mayhem.json,"버서커(광기, 혼일휘몰24초)",Berserker(mayhem),오버드라이브,72124856,버서크 퓨리,61326626
character_blade_burst.json,블레이드(버스트),Deathblade(surge),버스트,147705344,플래시 블링크,53288293
character_blade_remaining_energy.json,블레이드(잔재된 기운),Deathblade(remaining energy),버스트,49749079,플래시 블링크,45288720
character_blaster_barrage_enhancement.json,블래스터(포격 강화),Artillerist(barrage enhancement),포격 : 에너지 포,119068110,heavy_turret|헤비 터렛,7936798
character_blaster_firepower_enhancement.json,블래스터(화력 강화),Artillerist(firepower enhancement),고압열탄,59670782,heavy_turret|헤비 터렛,5101087
character_demonic_demonic_impulse.json,데모닉(멈출수 없는 충동),Shadowhunter(demonic impulse),블러드 매서커,39013109,폴른 루인,99994349
character_demonic_perfect_suppression.json,데모닉(완벽한 억제),Shadowhunter(perfect suppression),크루얼 커터,48352354,게이트 오브 이럽션,30614104
character_destroyer_rage_hammer.json,디스트로이어(분노의 망치),Destroyer(rage hammer),퍼펙트 스윙,158251984,빅뱅,76723531
character_devilhunter_enhanced_weapon.json,데빌헌터(강화 무기),Deadeye(enhanced weapon),샷건 연사,100341320,클레이 폭격,73923927
character_devilhunter_pistoleer.json,데빌헌터(핸드거너),Deadeye(pistoleer),메테오 스트림,45652869,클레이 폭격,97089012
character_gunslinger_peace_maker.json,건슬링어(피스메이커),Gunslinger(peace maker),마탄의 사수,80303967,황혼의 눈,74615029
character_gunslinger_time_to_hunt.json,건슬링어(사냥의 시간),Gunslinger(time to hunt),타겟 다운,84871070,황혼의 눈,85777329
character_infighter_shock_training.json,인파이터(충격 단련),Scrapper(shock training),연환파신권,81956871,진 : 극멸권,83503992
character_infighter_taijutsu.json,인파이터(극의 : 체술),Scrapper(taijutsu),난타연권,42857756,진 : 극멸권,46297996
character_lancemaster_control.json,창술사(절제),Graivier(control),반월섬,39560995,연가창식: 적룡질풍격,34298913
character_lancemaster_pinnacle.json,"창술사(절정, 4난무3집중)","Graivier(pinnacle, 4 Flurry & 3 Focus)",적룡포,51472266,연가창식: 은하유성탄,108814472
character_reaper_hunger.json,리퍼(갈증),Reaper(hunger),댄싱 오브 퓨리,44700868,월식 : 카덴차,63643390
character_reaper_lunar_voice.json,리퍼(달의 소리),Reaper(lunar voice),레이지 스피어,99679491,월식 : 카덴차,55207531
character_scouter_arthetinean_skill.json,"스카우터(아르데타인의 기술, 422)","Machinist(arthetinean skill, 422)",에너지 버스터,55339775,명령 : 파이널 익스플로전,51009987
character_scouter_evolutionary_legacy.json,스카우터(진화의 유산),Machinist(evolutionary legacy),크림슨 브레이커,31027639,에어 스트라이크,57014796
character_slayer_devourer_6m.json,"슬레이어(포식자, 6딜)","Slayer(devourer, 6m)",브루탈 임팩트,74089499,라그나 브레이크,58109102
character_slayer_devourer_7m.json,"슬레이어(포식자, 페소채용7딜)","Slayer(devourer, 7m)",브루탈 임팩트,74089499,라그나 브레이크,58109102
character_slayer_punisher.json,"슬레이어(처단자, 1.5사이클2길2퓨)",Slayer(punisher),블러드러스트,213424090,라그나 브레이크,137149510
character_sorceress_igniter.json,소서리스(점화),Sorceress(igniter),종말의 날_데미지,109476170,엔비스카의 권능,50709986
character_soulfist_energy_overflow.json,기공사(세맥타통),Soulfist(energy overflow),난화격,60922066,극상마섬광_캔슬,21404838
character_soulfist_robust_spirit.json,기공사(역천지체),Soulfist(robust spirit),난화격,73087681,천하섬멸옥,244541887
character_striker_deathblow.json,"스트라이커(일격필살, 3오의 폭쇄진)","Striker(deathblow, 3 esotheric blast formation)",뇌호격,111117268,진천각,59512880
character_striker_deathblow_c1.json,"스트라이커(일격필살, 3오의 풍신초래)","Striker(deathblow, 3 esotheric call the wind god)",뇌호격,111117268,진천각,59512880
character_striker_deathblow_e2.json,"스트라이커(일격필살, 2오의 방천격)","Striker(deathblow, 2 esotheric sweeping kick)",뇌호격,105745263,진천각,48659975
character_summoner_communication_overflow.json,서머너(넘치는 교감),Summoner(communication overflow),고대의 창,48236151,켈시온_체인,19114240
character_summoner_master_summoner_spcr.json,"서머너(상급 소환사, 마질 채용)",Summoner(master summoner),아키르(상소)_데미지,125361706,바그론의 분노,92212752
character_summoner_master_summoner_spsw.json,"서머너(상급 소환사, 마질 채용)",Summoner(master summoner),아키르(상소)_데미지,113082107,바그론의 분노,83639618
character_warlord_combat_readiness.json,"워로드(전투태세, 방격채용)",Gunlancer(combat readiness),가디언의 낙뢰,73095550,심판의 창,49694137
character_warlord_combat_readiness_v1.json,"워로드(전투태세, 대어파채용)","Gunlancer(combat readiness, dash upper fire)",가디언의 낙뢰,73095550,심판의 창,49694137
character_warlord_lone_knight.json,워로드(고독한 기사),Gunlancer(solo knight),차지 스팅거,93999601,심판의 창,23985815
