class,actual_dps,short_dps,long_dps,nuking_dps
character_battlemaster_first_intention.json,16798803,28157129,25630525,23155886
character_berserker_mayhem.json,13774050,30805052,26824942,21719306
character_blade_burst.json,21356050,30396652,28291258,27019294
character_blade_remaining_energy.json,20450275,24478969,24855014,23292749
character_blaster_barrage_enhancement.json,17686168,22501357,27332226,33279902
character_blaster_firepower_enhancement.json,14520463,23178509,22244220,29193455
character_demonic_demonic_impulse.json,14197135,20727825,18599947,27797811
character_demonic_perfect_suppression.json,16023016,25947770,20915789,20131510
character_destroyer_rage_hammer.json,17924219,31855217,29119253,26279386
character_devilhunter_enhanced_weapon.json,14387990,32667896,29708292,26951830
character_devilhunter_pistoleer.json,10923750,20243474,18503653,18148526
character_gunslinger_peace_maker.json,14447554,29237264,26539772,26741921
character_gunslinger_time_to_hunt.json,12500537,28855553,25834450,24687723
character_infighter_shock_training.json,20114195,34114371,32243691,29690335
character_infighter_taijutsu.json,18081335,22250159,21249861,20522643
character_lancemaster_pinnacle.json,15781748,17746438,20648581,25108645
character_reaper_hunger.json,18206896,26995095,24477704,26507981
character_reaper_lunar_voice.json,15098724,28110345,21413893,29752312
character_scouter_arthetinean_skill.json,14135157,23550286,22797261,23658878
character_scouter_evolutionary_legacy.json,18423807,20512726,21610843,22926628
character_sorceress_igniter.json,15727020,61622441,58998261,47311091
character_sorceress_igniter.json,13334956,65196818,49433426,39640969
character_striker_deathblow.json,18045558,39379428,30244695,29811554
character_striker_deathblow_c1.json,19089992,32406750,24416279,26439412
character_striker_deathblow_e2.json,14473729,31640192,24322921,24142159
character_warlord_combat_readiness.json,13685359,25215800,19845364,20744179
character_warlord_combat_readiness_full.json,16332243,31093650,24365774,24072614
character_warlord_lone_knight.json,12633423,28361921,23264511,20621752
character_warlord_lone_knight_full.json,14016048,31765352,26056252,22790556
